ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944CC492B1151EBBB6,2023-03-11 00:00:00,001,颗粒物,2.722,20,,0,0,2023-03-12T12:35:06.823,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944CC492B1151EBBB6,2023-03-11 00:00:00,002,二氧化硫,28.491,80,,0,0,2023-03-12T12:35:06.823,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944CC492B1151EBBB6,2023-03-11 00:00:00,003,氮氧化物,136.327,250,,0,0,2023-03-12T12:35:06.823,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944CC492B1151EBBB6,2023-03-11 00:00:00,004,一氧化碳,5.302,80,,0,0,2023-03-12T12:35:06.823,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944CC492B1151EBBB6,2023-03-11 00:00:00,008,氯化氢,5.09,50,,0,0,2023-03-12T12:35:06.823,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A99452B38E62A1029CEB,2023-03-11 00:00:00,001,颗粒物,2.586,20,,0,0,2023-03-12T12:35:06.813,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A99452B38E62A1029CEB,2023-03-11 00:00:00,002,二氧化硫,28.775,80,,0,0,2023-03-12T12:35:06.813,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A99452B38E62A1029CEB,2023-03-11 00:00:00,003,氮氧化物,140.154,250,,0,0,2023-03-12T12:35:06.813,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A99452B38E62A1029CEB,2023-03-11 00:00:00,004,一氧化碳,22.107,80,,0,0,2023-03-12T12:35:06.813,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A99452B38E62A1029CEB,2023-03-11 00:00:00,008,氯化氢,5.609,50,,0,0,2023-03-12T12:35:06.817,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944BE52240E3D8667D,2023-03-11 00:00:00,001,颗粒物,2.163,20,,0,0,2023-03-12T12:35:06.827,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944BE52240E3D8667D,2023-03-11 00:00:00,002,二氧化硫,28.311,80,,0,0,2023-03-12T12:35:06.827,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944BE52240E3D8667D,2023-03-11 00:00:00,003,氮氧化物,97.798,250,,0,0,2023-03-12T12:35:06.827,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944BE52240E3D8667D,2023-03-11 00:00:00,004,一氧化碳,17.775,80,,0,0,2023-03-12T12:35:06.83,2023-03-13T14:30:26.93,20230311
BAC9A4022E94A994514C2EB6E1038119,BAC9A4022E94A9944BE52240E3D8667D,2023-03-11 00:00:00,008,氯化氢,5.541,50,,0,0,2023-03-12T12:35:06.83,2023-03-13T14:30:26.93,20230311
