ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,2023-03-12 00:00:00,001,颗粒物,3.424,20,,0,0,2023-03-13T12:35:06.777,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,2023-03-12 00:00:00,002,二氧化硫,21.37,80,,0,0,2023-03-13T12:35:06.777,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,2023-03-12 00:00:00,003,氮氧化物,84.97,250,,0,0,2023-03-13T12:35:06.777,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,2023-03-12 00:00:00,004,一氧化碳,9.312,80,,0,0,2023-03-13T12:35:06.777,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,2023-03-12 00:00:00,008,氯化氢,9.405,50,,0,0,2023-03-13T12:35:06.777,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,2023-03-12 00:00:00,001,颗粒物,3.428,20,,0,0,2023-03-13T12:35:06.737,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,2023-03-12 00:00:00,002,二氧化硫,18.971,80,,0,0,2023-03-13T12:35:06.737,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,2023-03-12 00:00:00,003,氮氧化物,83.845,250,,0,0,2023-03-13T12:35:06.74,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,2023-03-12 00:00:00,004,一氧化碳,2.559,80,,0,0,2023-03-13T12:35:06.74,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,2023-03-12 00:00:00,008,氯化氢,8.356,50,,0,0,2023-03-13T12:35:06.74,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,2023-03-12 00:00:00,001,颗粒物,3.359,20,,0,0,2023-03-13T12:35:06.813,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,2023-03-12 00:00:00,002,二氧化硫,19.045,80,,0,0,2023-03-13T12:35:06.813,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,2023-03-12 00:00:00,003,氮氧化物,86.673,250,,0,0,2023-03-13T12:35:06.817,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,2023-03-12 00:00:00,004,一氧化碳,5.342,80,,0,0,2023-03-13T12:35:06.817,2023-03-14T14:30:39.537,20230312
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,2023-03-12 00:00:00,008,氯化氢,10.736,50,,0,0,2023-03-13T12:35:06.817,2023-03-14T14:30:39.537,20230312
