ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6409554CB39A2F569,2023-03-20 00:00:00,001,颗粒物,2.858,20,,0,0,2023-03-21T12:35:05.93,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6409554CB39A2F569,2023-03-20 00:00:00,002,二氧化硫,13.53,50,,0,0,2023-03-21T12:35:05.93,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6409554CB39A2F569,2023-03-20 00:00:00,003,氮氧化物,116.605,150,,0,0,2023-03-21T12:35:05.93,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6409554CB39A2F569,2023-03-20 00:00:00,004,一氧化碳,3.316,80,,0,0,2023-03-21T12:35:05.933,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6409554CB39A2F569,2023-03-20 00:00:00,008,氯化氢,18.154,50,,0,0,2023-03-21T12:35:05.93,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6C604DA665FD79BBA,2023-03-20 00:00:00,001,颗粒物,,20,,0,0,2023-03-21T12:35:05.957,2023-03-23T14:30:14.58,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6C604DA665FD79BBA,2023-03-20 00:00:00,002,二氧化硫,,50,,0,0,2023-03-21T12:35:05.957,2023-03-23T14:30:14.58,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6C604DA665FD79BBA,2023-03-20 00:00:00,003,氮氧化物,,150,,0,0,2023-03-21T12:35:05.957,2023-03-23T14:30:14.58,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6C604DA665FD79BBA,2023-03-20 00:00:00,004,一氧化碳,,80,,0,0,2023-03-21T12:35:05.96,2023-03-23T14:30:14.58,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B6C604DA665FD79BBA,2023-03-20 00:00:00,008,氯化氢,,50,,0,0,2023-03-21T12:35:05.96,2023-03-23T14:30:14.58,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B62BDDB729D09E9A92,2023-03-20 00:00:00,001,颗粒物,4.585,20,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B62BDDB729D09E9A92,2023-03-20 00:00:00,002,二氧化硫,15.657,50,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B62BDDB729D09E9A92,2023-03-20 00:00:00,003,氮氧化物,79.004,150,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B62BDDB729D09E9A92,2023-03-20 00:00:00,004,一氧化碳,5.153,80,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B62BDDB729D09E9A92,2023-03-20 00:00:00,008,氯化氢,10.97,50,,0,0,2023-03-21T12:35:05.923,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B66A52A9EA5004DE39,2023-03-20 00:00:00,001,颗粒物,4.308,20,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B66A52A9EA5004DE39,2023-03-20 00:00:00,002,二氧化硫,11.184,50,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B66A52A9EA5004DE39,2023-03-20 00:00:00,003,氮氧化物,81.093,150,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B66A52A9EA5004DE39,2023-03-20 00:00:00,004,一氧化碳,3.101,80,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
8609CB94471AA9B65828C9D3B13E8DB3,8609CB94471AA9B66A52A9EA5004DE39,2023-03-20 00:00:00,008,氯化氢,19.996,50,,0,0,2023-03-21T12:35:05.92,2023-03-22T14:30:17.737,20230320
