ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CC8FB8779C7BCD23F155E30DA545290029AB0F90A927BE83C,2023-03-28 00:00:00,001,颗粒物,0.428,20,CEMS维护,0,0,2023-03-29T12:35:03.397,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CC8FB8779C7BCD23F155E30DA545290029AB0F90A927BE83C,2023-03-28 00:00:00,002,二氧化硫,8.252,80,CEMS维护,0,0,2023-03-29T12:35:03.397,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CC8FB8779C7BCD23F155E30DA545290029AB0F90A927BE83C,2023-03-28 00:00:00,003,氮氧化物,54.018,250,CEMS维护,0,0,2023-03-29T12:35:03.393,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CC8FB8779C7BCD23F155E30DA545290029AB0F90A927BE83C,2023-03-28 00:00:00,004,一氧化碳,16.983,80,CEMS维护,0,0,2023-03-29T12:35:03.397,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CC8FB8779C7BCD23F155E30DA545290029AB0F90A927BE83C,2023-03-28 00:00:00,008,氯化氢,3.668,50,CEMS维护,0,0,2023-03-29T12:35:03.397,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CAE7CD37B9DBB9B9E7A7EC39CF54FB7B0B07EF45AF1FD1AFE,2023-03-28 00:00:00,001,颗粒物,2.9,20,CEMS维护,0,0,2023-03-29T12:35:03.407,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CAE7CD37B9DBB9B9E7A7EC39CF54FB7B0B07EF45AF1FD1AFE,2023-03-28 00:00:00,002,二氧化硫,6.559,80,CEMS维护,0,0,2023-03-29T12:35:03.407,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CAE7CD37B9DBB9B9E7A7EC39CF54FB7B0B07EF45AF1FD1AFE,2023-03-28 00:00:00,003,氮氧化物,53.2,250,CEMS维护,0,0,2023-03-29T12:35:03.403,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CAE7CD37B9DBB9B9E7A7EC39CF54FB7B0B07EF45AF1FD1AFE,2023-03-28 00:00:00,004,一氧化碳,17.573,80,CEMS维护,0,0,2023-03-29T12:35:03.403,2023-05-08T14:32:56.33,20230328
12B57166DB94E23920C8A94BEFC5E82EB6CF8BF972483F5A8E1D97A67D6BB76C057D6B62E4D9D7E7,12B57166DB94E23955BEBD2EFCF5966CAE7CD37B9DBB9B9E7A7EC39CF54FB7B0B07EF45AF1FD1AFE,2023-03-28 00:00:00,008,氯化氢,2.734,50,CEMS维护,0,0,2023-03-29T12:35:03.407,2023-05-08T14:32:56.33,20230328
