ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-03-11 00:00:00,001,颗粒物,6.31,20,,0,0,2023-03-12T12:35:03.56,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-03-11 00:00:00,002,二氧化硫,65.74,80,,0,0,2023-03-12T12:35:03.56,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-03-11 00:00:00,003,氮氧化物,198.828,250,,0,0,2023-03-12T12:35:03.56,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-03-11 00:00:00,004,一氧化碳,25.396,80,,0,0,2023-03-12T12:35:03.56,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-03-11 00:00:00,008,氯化氢,35.331,50,,0,0,2023-03-12T12:35:03.56,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-03-11 00:00:00,001,颗粒物,5.81,20,,0,0,2023-03-12T12:35:03.693,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-03-11 00:00:00,002,二氧化硫,27.93,80,,0,0,2023-03-12T12:35:03.693,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-03-11 00:00:00,003,氮氧化物,196.266,250,,0,0,2023-03-12T12:35:03.693,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-03-11 00:00:00,004,一氧化碳,2.27,80,,0,0,2023-03-12T12:35:03.693,2023-03-13T14:30:26.93,20230311
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-03-11 00:00:00,008,氯化氢,9.159,50,,0,0,2023-03-12T12:35:03.697,2023-03-13T14:30:26.93,20230311
