ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240BDA80602B3DD9231F,2023-03-16 00:00:00,001,颗粒物,5.0,20,,0,0,2023-03-17T12:35:06.61,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240BDA80602B3DD9231F,2023-03-16 00:00:00,002,二氧化硫,37.027,80,,0,0,2023-03-17T12:35:06.61,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240BDA80602B3DD9231F,2023-03-16 00:00:00,003,氮氧化物,92.226,250,,0,0,2023-03-17T12:35:06.61,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240BDA80602B3DD9231F,2023-03-16 00:00:00,004,一氧化碳,13.758,80,,0,0,2023-03-17T12:35:06.61,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240BDA80602B3DD9231F,2023-03-16 00:00:00,008,氯化氢,33.338,50,,0,0,2023-03-17T12:35:06.61,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240B76461381CAB129F1,2023-03-16 00:00:00,001,颗粒物,0.756,20,,0,0,2023-03-17T12:35:06.617,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240B76461381CAB129F1,2023-03-16 00:00:00,002,二氧化硫,26.587,80,,0,0,2023-03-17T12:35:06.617,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240B76461381CAB129F1,2023-03-16 00:00:00,003,氮氧化物,78.257,250,,0,0,2023-03-17T12:35:06.617,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240B76461381CAB129F1,2023-03-16 00:00:00,004,一氧化碳,8.613,80,,0,0,2023-03-17T12:35:06.617,2023-03-18T14:30:17.747,20230316
AB1C3C926458240BC8D89316DBBC7C10,AB1C3C926458240B76461381CAB129F1,2023-03-16 00:00:00,008,氯化氢,35.612,50,,0,0,2023-03-17T12:35:06.617,2023-03-18T14:30:17.747,20230316
