ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6B4B4C337B63C1EF8,2023-03-11 00:00:00,001,颗粒物,1.78,20,,0,0,2023-03-12T12:35:07.157,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6B4B4C337B63C1EF8,2023-03-11 00:00:00,002,二氧化硫,37.934,80,,0,0,2023-03-12T12:35:07.157,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6B4B4C337B63C1EF8,2023-03-11 00:00:00,003,氮氧化物,170.14,250,,0,0,2023-03-12T12:35:07.157,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6B4B4C337B63C1EF8,2023-03-11 00:00:00,004,一氧化碳,1.379,80,,0,0,2023-03-12T12:35:07.157,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6B4B4C337B63C1EF8,2023-03-11 00:00:00,008,氯化氢,10.568,50,,0,0,2023-03-12T12:35:07.16,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6927EE579BECFE276,2023-03-11 00:00:00,001,颗粒物,2.153,20,,0,0,2023-03-12T12:35:07.26,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6927EE579BECFE276,2023-03-11 00:00:00,002,二氧化硫,38.254,80,,0,0,2023-03-12T12:35:07.26,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6927EE579BECFE276,2023-03-11 00:00:00,003,氮氧化物,173.4,250,,0,0,2023-03-12T12:35:07.26,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6927EE579BECFE276,2023-03-11 00:00:00,004,一氧化碳,0.43,80,,0,0,2023-03-12T12:35:07.26,2023-03-13T14:30:26.93,20230311
741D8E7C313F0FD6C63F19C8E4E1F458,741D8E7C313F0FD6927EE579BECFE276,2023-03-11 00:00:00,008,氯化氢,10.129,50,,0,0,2023-03-12T12:35:07.26,2023-03-13T14:30:26.93,20230311
