ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F40B9E32238188C60C,2023-03-13 00:00:00,001,颗粒物,3.08,20,,0,0,2023-03-14T12:35:06.99,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F40B9E32238188C60C,2023-03-13 00:00:00,002,二氧化硫,48.58,80,,0,0,2023-03-14T12:35:06.99,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F40B9E32238188C60C,2023-03-13 00:00:00,003,氮氧化物,72.794,250,,0,0,2023-03-14T12:35:06.99,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F40B9E32238188C60C,2023-03-13 00:00:00,004,一氧化碳,3.635,80,,0,0,2023-03-14T12:35:06.99,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F40B9E32238188C60C,2023-03-13 00:00:00,008,氯化氢,0.013,50,,0,0,2023-03-14T12:35:06.99,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4EA35C3092373B14C,2023-03-13 00:00:00,001,颗粒物,3.94,20,,0,0,2023-03-14T12:35:06.88,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4EA35C3092373B14C,2023-03-13 00:00:00,002,二氧化硫,48.39,80,,0,0,2023-03-14T12:35:06.88,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4EA35C3092373B14C,2023-03-13 00:00:00,003,氮氧化物,73.404,250,,0,0,2023-03-14T12:35:06.88,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4EA35C3092373B14C,2023-03-13 00:00:00,004,一氧化碳,4.906,80,,0,0,2023-03-14T12:35:06.88,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4EA35C3092373B14C,2023-03-13 00:00:00,008,氯化氢,6.402,50,,0,0,2023-03-14T12:35:06.88,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4E5E290E256B8FB03,2023-03-13 00:00:00,001,颗粒物,,20,,0,0,2023-03-14T12:35:07.037,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4E5E290E256B8FB03,2023-03-13 00:00:00,002,二氧化硫,,80,,0,0,2023-03-14T12:35:07.033,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4E5E290E256B8FB03,2023-03-13 00:00:00,003,氮氧化物,,250,,0,0,2023-03-14T12:35:07.033,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4E5E290E256B8FB03,2023-03-13 00:00:00,004,一氧化碳,,80,,0,0,2023-03-14T12:35:07.033,2023-03-15T14:30:42.77,20230313
8F3EAC9171F405F464B5AC17926EE47F,8F3EAC9171F405F4E5E290E256B8FB03,2023-03-13 00:00:00,008,氯化氢,,50,,0,0,2023-03-14T12:35:07.033,2023-03-15T14:30:42.77,20230313
