ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969D35BE4F1C5F796A91,2023-03-21 00:00:00,001,颗粒物,13.16,20,,0,0,2023-03-22T12:35:04.323,2023-03-23T14:30:14.58,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969D35BE4F1C5F796A91,2023-03-21 00:00:00,002,二氧化硫,34.481,80,,0,0,2023-03-22T12:35:04.323,2023-03-23T14:30:14.58,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969D35BE4F1C5F796A91,2023-03-21 00:00:00,003,氮氧化物,140.121,250,,0,0,2023-03-22T12:35:04.32,2023-03-23T14:30:14.58,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969D35BE4F1C5F796A91,2023-03-21 00:00:00,004,一氧化碳,11.758,80,,0,0,2023-03-22T12:35:04.32,2023-03-23T14:30:14.58,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969D35BE4F1C5F796A91,2023-03-21 00:00:00,008,氯化氢,29.152,50,,0,0,2023-03-22T12:35:04.323,2023-03-23T14:30:14.58,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969DEFD15EFB6AE903F4,2023-03-21 00:00:00,001,颗粒物,6.097,20,,0,0,2023-03-22T12:35:05.2,2023-03-22T12:35:05.2,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969DEFD15EFB6AE903F4,2023-03-21 00:00:00,002,二氧化硫,38.021,80,,0,0,2023-03-22T12:35:05.2,2023-03-22T12:35:05.2,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969DEFD15EFB6AE903F4,2023-03-21 00:00:00,003,氮氧化物,102.466,250,,0,0,2023-03-22T12:35:05.203,2023-03-22T12:35:05.203,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969DEFD15EFB6AE903F4,2023-03-21 00:00:00,004,一氧化碳,6.553,80,,0,0,2023-03-22T12:35:05.203,2023-03-22T12:35:05.203,20230321
2CE7A8B727E8969D951F7937B764F58E,2CE7A8B727E8969DEFD15EFB6AE903F4,2023-03-21 00:00:00,008,氯化氢,9.32,50,,0,0,2023-03-22T12:35:05.203,2023-03-22T12:35:05.203,20230321
