ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812ADAC165A317041ED78,2023-03-14 00:00:00,001,颗粒物,3.339,20,,0,0,2023-03-15T12:35:05.463,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812ADAC165A317041ED78,2023-03-14 00:00:00,002,二氧化硫,8.643,80,,0,0,2023-03-15T12:35:05.463,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812ADAC165A317041ED78,2023-03-14 00:00:00,003,氮氧化物,92.258,250,,0,0,2023-03-15T12:35:05.463,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812ADAC165A317041ED78,2023-03-14 00:00:00,004,一氧化碳,2.152,80,,0,0,2023-03-15T12:35:05.463,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812ADAC165A317041ED78,2023-03-14 00:00:00,008,氯化氢,27.557,50,,0,0,2023-03-15T12:35:05.463,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812AD31A88CA3C93B97B2,2023-03-14 00:00:00,001,颗粒物,1.918,20,,0,0,2023-03-15T12:35:05.093,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812AD31A88CA3C93B97B2,2023-03-14 00:00:00,002,二氧化硫,14.623,80,,0,0,2023-03-15T12:35:05.093,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812AD31A88CA3C93B97B2,2023-03-14 00:00:00,003,氮氧化物,86.501,250,,0,0,2023-03-15T12:35:05.093,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812AD31A88CA3C93B97B2,2023-03-14 00:00:00,004,一氧化碳,2.866,80,,0,0,2023-03-15T12:35:05.093,2023-03-16T14:30:47.83,20230314
CB67871E1EE812ADE5BEA44A19CED124,CB67871E1EE812AD31A88CA3C93B97B2,2023-03-14 00:00:00,008,氯化氢,27.489,50,,0,0,2023-03-15T12:35:05.097,2023-03-16T14:30:47.83,20230314
