ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B7896833AAD916DCE103A71,2023-03-06 00:00:00,001,颗粒物,1.345,8,,0,0,2023-03-07T12:35:05.743,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B7896833AAD916DCE103A71,2023-03-06 00:00:00,002,二氧化硫,0.461,30,,0,0,2023-03-07T12:35:05.747,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B7896833AAD916DCE103A71,2023-03-06 00:00:00,003,氮氧化物,24.705,80,,0,0,2023-03-07T12:35:05.747,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B7896833AAD916DCE103A71,2023-03-06 00:00:00,004,一氧化碳,2.519,50,,0,0,2023-03-07T12:35:05.747,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B7896833AAD916DCE103A71,2023-03-06 00:00:00,008,氯化氢,6.331,8,,0,0,2023-03-07T12:35:05.75,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BF6EBDEB45DFED64,2023-03-06 00:00:00,001,颗粒物,1.727,8,,0,0,2023-03-07T12:35:05.67,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BF6EBDEB45DFED64,2023-03-06 00:00:00,002,二氧化硫,9.976,30,,0,0,2023-03-07T12:35:05.67,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BF6EBDEB45DFED64,2023-03-06 00:00:00,003,氮氧化物,45.961,80,,0,0,2023-03-07T12:35:05.67,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BF6EBDEB45DFED64,2023-03-06 00:00:00,004,一氧化碳,5.261,50,,0,0,2023-03-07T12:35:05.67,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BF6EBDEB45DFED64,2023-03-06 00:00:00,008,氯化氢,3.29,8,,0,0,2023-03-07T12:35:05.67,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B78968348120C2651DE847A,2023-03-06 00:00:00,001,颗粒物,6.064,10,,0,0,2023-03-07T12:35:05.897,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B78968348120C2651DE847A,2023-03-06 00:00:00,002,二氧化硫,12.635,50,,0,0,2023-03-07T12:35:05.897,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B78968348120C2651DE847A,2023-03-06 00:00:00,003,氮氧化物,53.053,110,,0,0,2023-03-07T12:35:05.897,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B78968348120C2651DE847A,2023-03-06 00:00:00,004,一氧化碳,4.194,50,,0,0,2023-03-07T12:35:05.897,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B78968348120C2651DE847A,2023-03-06 00:00:00,008,氯化氢,1.865,10,,0,0,2023-03-07T12:35:05.897,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683FF3E9F82383EBB02,2023-03-06 00:00:00,001,颗粒物,3.049,8,,0,0,2023-03-07T12:35:05.677,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683FF3E9F82383EBB02,2023-03-06 00:00:00,002,二氧化硫,5.378,30,,0,0,2023-03-07T12:35:05.677,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683FF3E9F82383EBB02,2023-03-06 00:00:00,003,氮氧化物,41.297,80,,0,0,2023-03-07T12:35:05.677,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683FF3E9F82383EBB02,2023-03-06 00:00:00,004,一氧化碳,3.447,50,,0,0,2023-03-07T12:35:05.677,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683FF3E9F82383EBB02,2023-03-06 00:00:00,008,氯化氢,3.849,8,,0,0,2023-03-07T12:35:05.677,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BA4FA6336D55D601,2023-03-06 00:00:00,001,颗粒物,0.477,8,,0,0,2023-03-07T12:35:05.74,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BA4FA6336D55D601,2023-03-06 00:00:00,002,二氧化硫,14.744,30,,0,0,2023-03-07T12:35:05.74,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BA4FA6336D55D601,2023-03-06 00:00:00,003,氮氧化物,33.187,80,,0,0,2023-03-07T12:35:05.74,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BA4FA6336D55D601,2023-03-06 00:00:00,004,一氧化碳,3.244,50,,0,0,2023-03-07T12:35:05.74,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683BA4FA6336D55D601,2023-03-06 00:00:00,008,氯化氢,6.926,8,,0,0,2023-03-07T12:35:05.74,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683C3687C44413D43C1,2023-03-06 00:00:00,001,颗粒物,,10,,0,0,2023-03-07T12:35:05.85,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683C3687C44413D43C1,2023-03-06 00:00:00,002,二氧化硫,,50,,0,0,2023-03-07T12:35:05.85,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683C3687C44413D43C1,2023-03-06 00:00:00,003,氮氧化物,,110,,0,0,2023-03-07T12:35:05.85,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683C3687C44413D43C1,2023-03-06 00:00:00,004,一氧化碳,,50,,0,0,2023-03-07T12:35:05.85,2023-03-08T14:30:26.497,20230306
1DCC00CE2B789683C6D44E496320B71E,1DCC00CE2B789683C3687C44413D43C1,2023-03-06 00:00:00,008,氯化氢,,10,,0,0,2023-03-07T12:35:05.85,2023-03-08T14:30:26.497,20230306
