ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E239B30F27E993948E24900EAFB852CDC6F43ADC82FE46127CE5E7BEA044483DEFBE,2023-03-13 00:00:00,001,颗粒物,0.996,20,,0,0,2023-03-14T12:35:07.07,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E239B30F27E993948E24900EAFB852CDC6F43ADC82FE46127CE5E7BEA044483DEFBE,2023-03-13 00:00:00,002,二氧化硫,2.29,80,,0,0,2023-03-14T12:35:07.07,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E239B30F27E993948E24900EAFB852CDC6F43ADC82FE46127CE5E7BEA044483DEFBE,2023-03-13 00:00:00,003,氮氧化物,35.7,250,,0,0,2023-03-14T12:35:07.067,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E239B30F27E993948E24900EAFB852CDC6F43ADC82FE46127CE5E7BEA044483DEFBE,2023-03-13 00:00:00,004,一氧化碳,2.3,80,,0,0,2023-03-14T12:35:07.067,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E239B30F27E993948E24900EAFB852CDC6F43ADC82FE46127CE5E7BEA044483DEFBE,2023-03-13 00:00:00,008,氯化氢,0.9,50,,0,0,2023-03-14T12:35:07.067,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A57BEC5220D2EF92E6A3683FF21A7FA45E398FAB98DEE54AFB,2023-03-13 00:00:00,001,颗粒物,1.025,20,,0,0,2023-03-14T12:35:07.083,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A57BEC5220D2EF92E6A3683FF21A7FA45E398FAB98DEE54AFB,2023-03-13 00:00:00,002,二氧化硫,1.22,80,,0,0,2023-03-14T12:35:07.083,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A57BEC5220D2EF92E6A3683FF21A7FA45E398FAB98DEE54AFB,2023-03-13 00:00:00,003,氮氧化物,32.8,250,,0,0,2023-03-14T12:35:07.083,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A57BEC5220D2EF92E6A3683FF21A7FA45E398FAB98DEE54AFB,2023-03-13 00:00:00,004,一氧化碳,0.999,80,,0,0,2023-03-14T12:35:07.083,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A57BEC5220D2EF92E6A3683FF21A7FA45E398FAB98DEE54AFB,2023-03-13 00:00:00,008,氯化氢,0.815,50,,0,0,2023-03-14T12:35:07.083,2023-03-15T14:30:42.77,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A5C87DAAAAE959C8967FA03118A32CBBE6C32358A396857422,2023-03-13 00:00:00,001,颗粒物,0.837,20,,0,0,2023-03-14T12:35:06.617,2023-03-14T12:35:06.617,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A5C87DAAAAE959C8967FA03118A32CBBE6C32358A396857422,2023-03-13 00:00:00,002,二氧化硫,0.84,80,,0,0,2023-03-14T12:35:06.617,2023-03-14T12:35:06.617,20230313
12B57166DB94E239351C7F42623417A97B026FA08F5210DBE4A67D2E8CCD339D5FC037BEF209432A,12B57166DB94E2393E246B48927C67A5C87DAAAAE959C8967FA03118A32CBBE6C32358A396857422,2023-03-13 00:00:00,003,氮氧化物,34.5,250,,0,0,2023-03-14T12:35:06.617,2023-03-14T12:35:06.617,20230313
