ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FEE2CF63AB2BC4C6B4,2023-03-09 00:00:00,001,颗粒物,0.866,20,,0,0,2023-03-10T12:35:12.573,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FEE2CF63AB2BC4C6B4,2023-03-09 00:00:00,002,二氧化硫,20.766,80,,0,0,2023-03-10T12:35:12.573,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FEE2CF63AB2BC4C6B4,2023-03-09 00:00:00,003,氮氧化物,120.983,250,,0,0,2023-03-10T12:35:12.573,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FEE2CF63AB2BC4C6B4,2023-03-09 00:00:00,004,一氧化碳,39.715,80,,0,0,2023-03-10T12:35:12.577,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FEE2CF63AB2BC4C6B4,2023-03-09 00:00:00,008,氯化氢,25.151,50,,0,0,2023-03-10T12:35:12.577,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FE7D6C71218E2356AD,2023-03-09 00:00:00,001,颗粒物,4.324,20,,0,0,2023-03-10T12:35:12.8,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FE7D6C71218E2356AD,2023-03-09 00:00:00,002,二氧化硫,13.227,80,,0,0,2023-03-10T12:35:12.8,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FE7D6C71218E2356AD,2023-03-09 00:00:00,003,氮氧化物,149.642,250,,0,0,2023-03-10T12:35:12.8,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FE7D6C71218E2356AD,2023-03-09 00:00:00,004,一氧化碳,34.326,80,,0,0,2023-03-10T12:35:12.803,2023-03-11T14:30:24.35,20230309
2B70DC7FC6D727FE33021D4B8EC764E7,2B70DC7FC6D727FE7D6C71218E2356AD,2023-03-09 00:00:00,008,氯化氢,21.921,50,,0,0,2023-03-10T12:35:12.803,2023-03-11T14:30:24.35,20230309
