ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-03-16 00:00:00,001,颗粒物,3.439,20,,0,0,2023-03-17T12:35:03.82,2023-03-18T14:30:17.747,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-03-16 00:00:00,002,二氧化硫,62.173,80,,0,0,2023-03-17T12:35:03.82,2023-03-18T14:30:17.747,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-03-16 00:00:00,003,氮氧化物,171.234,250,,0,0,2023-03-17T12:35:03.82,2023-03-18T14:30:17.747,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-03-16 00:00:00,004,一氧化碳,0.86,80,,0,0,2023-03-17T12:35:03.82,2023-03-18T14:30:17.747,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-03-16 00:00:00,008,氯化氢,19.82,50,,0,0,2023-03-17T12:35:03.82,2023-03-18T14:30:17.747,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-03-16 00:00:00,001,颗粒物,4.967,20,,0,0,2023-03-17T12:35:03.46,2023-03-17T12:35:03.46,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-03-16 00:00:00,002,二氧化硫,24.007,80,,0,0,2023-03-17T12:35:03.46,2023-03-17T12:35:03.46,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-03-16 00:00:00,003,氮氧化物,165.186,250,,0,0,2023-03-17T12:35:03.46,2023-03-17T12:35:03.46,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-03-16 00:00:00,004,一氧化碳,0.698,80,,0,0,2023-03-17T12:35:03.46,2023-03-17T12:35:03.46,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-03-16 00:00:00,008,氯化氢,27.859,50,,0,0,2023-03-17T12:35:03.46,2023-03-17T12:35:03.46,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-03-16 00:00:00,001,颗粒物,3.519,20,,0,0,2023-03-17T12:35:03.467,2023-03-17T12:35:03.467,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-03-16 00:00:00,002,二氧化硫,36.567,80,,0,0,2023-03-17T12:35:03.467,2023-03-17T12:35:03.467,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-03-16 00:00:00,003,氮氧化物,159.413,250,,0,0,2023-03-17T12:35:03.467,2023-03-17T12:35:03.467,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-03-16 00:00:00,004,一氧化碳,3.92,80,,0,0,2023-03-17T12:35:03.467,2023-03-17T12:35:03.467,20230316
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-03-16 00:00:00,008,氯化氢,25.421,50,,0,0,2023-03-17T12:35:03.47,2023-03-17T12:35:03.47,20230316
