ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EA95BDC8A491E06C1,2023-03-01 00:00:00,001,颗粒物,0.38,20,,0,0,2023-03-02T12:35:05.93,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EA95BDC8A491E06C1,2023-03-01 00:00:00,002,二氧化硫,18.735,80,,0,0,2023-03-02T12:35:05.93,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EA95BDC8A491E06C1,2023-03-01 00:00:00,003,氮氧化物,62.457,250,,0,0,2023-03-02T12:35:05.93,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EA95BDC8A491E06C1,2023-03-01 00:00:00,004,一氧化碳,1.16,80,,0,0,2023-03-02T12:35:05.933,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EA95BDC8A491E06C1,2023-03-01 00:00:00,008,氯化氢,7.722,50,,0,0,2023-03-02T12:35:05.93,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EEF47FF1FCD798E3C,2023-03-01 00:00:00,001,颗粒物,0.739,20,,0,0,2023-03-02T12:35:05.92,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EEF47FF1FCD798E3C,2023-03-01 00:00:00,002,二氧化硫,23.524,80,,0,0,2023-03-02T12:35:05.92,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EEF47FF1FCD798E3C,2023-03-01 00:00:00,003,氮氧化物,67.375,250,,0,0,2023-03-02T12:35:05.92,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EEF47FF1FCD798E3C,2023-03-01 00:00:00,004,一氧化碳,0.117,80,,0,0,2023-03-02T12:35:05.92,2023-03-03T14:30:16.903,20230301
5EAA3F382B0DD46E9E4C9EE32B00A02A,5EAA3F382B0DD46EEF47FF1FCD798E3C,2023-03-01 00:00:00,008,氯化氢,3.291,50,,0,0,2023-03-02T12:35:05.92,2023-03-03T14:30:16.903,20230301
