ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516ECC8DCBD8F5F5BD7D,2023-03-23 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-03-24T12:35:07.937,2023-03-27T14:30:46.793,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516ECC8DCBD8F5F5BD7D,2023-03-23 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-03-24T12:35:07.937,2023-03-27T14:30:46.793,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516ECC8DCBD8F5F5BD7D,2023-03-23 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-03-24T12:35:07.933,2023-03-27T14:30:46.793,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516ECC8DCBD8F5F5BD7D,2023-03-23 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-03-24T12:35:07.937,2023-03-27T14:30:46.793,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516ECC8DCBD8F5F5BD7D,2023-03-23 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-03-24T12:35:07.937,2023-03-27T14:30:46.793,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E1FEAF2144ECE0A16,2023-03-23 00:00:00,001,颗粒物,2.341,20,,0,0,2023-03-24T12:35:07.91,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E1FEAF2144ECE0A16,2023-03-23 00:00:00,002,二氧化硫,34.068,80,,0,0,2023-03-24T12:35:07.91,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E1FEAF2144ECE0A16,2023-03-23 00:00:00,003,氮氧化物,94.78,250,,0,0,2023-03-24T12:35:07.907,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E1FEAF2144ECE0A16,2023-03-23 00:00:00,004,一氧化碳,9.362,80,,0,0,2023-03-24T12:35:07.91,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E1FEAF2144ECE0A16,2023-03-23 00:00:00,008,氯化氢,18.317,50,,0,0,2023-03-24T12:35:07.91,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E5FCF656AF36898C0,2023-03-23 00:00:00,001,颗粒物,0.554,20,CEMS维护,0,0,2023-03-24T12:35:07.79,2023-05-08T14:32:56.33,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E5FCF656AF36898C0,2023-03-23 00:00:00,002,二氧化硫,29.931,80,CEMS维护,0,0,2023-03-24T12:35:07.79,2023-05-08T14:32:56.33,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E5FCF656AF36898C0,2023-03-23 00:00:00,003,氮氧化物,91.73,250,CEMS维护,0,0,2023-03-24T12:35:07.79,2023-05-08T14:32:56.33,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E5FCF656AF36898C0,2023-03-23 00:00:00,004,一氧化碳,8.075,80,CEMS维护,0,0,2023-03-24T12:35:07.79,2023-05-08T14:32:56.33,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E5FCF656AF36898C0,2023-03-23 00:00:00,008,氯化氢,19.418,50,CEMS维护,0,0,2023-03-24T12:35:07.79,2023-05-08T14:32:56.33,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E8E831AFD1F05F434,2023-03-23 00:00:00,001,颗粒物,0.635,20,,0,0,2023-03-24T12:35:07.92,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E8E831AFD1F05F434,2023-03-23 00:00:00,002,二氧化硫,30.385,80,,0,0,2023-03-24T12:35:07.92,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E8E831AFD1F05F434,2023-03-23 00:00:00,003,氮氧化物,95.959,250,,0,0,2023-03-24T12:35:07.92,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E8E831AFD1F05F434,2023-03-23 00:00:00,004,一氧化碳,10.697,80,,0,0,2023-03-24T12:35:07.92,2023-03-25T14:30:26.67,20230323
A405739C9897516ECBB06E61E3B89EFB,A405739C9897516E8E831AFD1F05F434,2023-03-23 00:00:00,008,氯化氢,10.484,50,,0,0,2023-03-24T12:35:07.92,2023-03-25T14:30:26.67,20230323
