ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A26CA99719CDE2D26,2023-03-02 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A26CA99719CDE2D26,2023-03-02 00:00:00,002,二氧化硫,,30,CEMS维护,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A26CA99719CDE2D26,2023-03-02 00:00:00,003,氮氧化物,,180,CEMS维护,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A26CA99719CDE2D26,2023-03-02 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A26CA99719CDE2D26,2023-03-02 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5AA74139039D30D8A1,2023-03-02 00:00:00,001,颗粒物,2.0,20,,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5AA74139039D30D8A1,2023-03-02 00:00:00,002,二氧化硫,10.07,30,,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5AA74139039D30D8A1,2023-03-02 00:00:00,003,氮氧化物,68.73,180,,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5AA74139039D30D8A1,2023-03-02 00:00:00,004,一氧化碳,0.01,80,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5AA74139039D30D8A1,2023-03-02 00:00:00,008,氯化氢,8.01,50,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2EE04C7BBCEBF3E7,2023-03-02 00:00:00,001,颗粒物,2.45,20,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2EE04C7BBCEBF3E7,2023-03-02 00:00:00,002,二氧化硫,11.19,30,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2EE04C7BBCEBF3E7,2023-03-02 00:00:00,003,氮氧化物,65.36,180,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2EE04C7BBCEBF3E7,2023-03-02 00:00:00,004,一氧化碳,0.06,80,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2EE04C7BBCEBF3E7,2023-03-02 00:00:00,008,氯化氢,10.15,50,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A602E4F89CED134FD,2023-03-02 00:00:00,001,颗粒物,2.79,20,,0,0,2023-03-03T12:35:07.92,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A602E4F89CED134FD,2023-03-02 00:00:00,002,二氧化硫,8.9,30,,0,0,2023-03-03T12:35:07.92,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A602E4F89CED134FD,2023-03-02 00:00:00,003,氮氧化物,65.45,180,,0,0,2023-03-03T12:35:07.92,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A602E4F89CED134FD,2023-03-02 00:00:00,004,一氧化碳,0.87,80,,0,0,2023-03-03T12:35:07.92,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A602E4F89CED134FD,2023-03-02 00:00:00,008,氯化氢,7.65,50,,0,0,2023-03-03T12:35:07.92,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A0069FB1D6C4A33A1,2023-03-02 00:00:00,001,颗粒物,0.94,20,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A0069FB1D6C4A33A1,2023-03-02 00:00:00,002,二氧化硫,10.14,30,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A0069FB1D6C4A33A1,2023-03-02 00:00:00,003,氮氧化物,67.27,180,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A0069FB1D6C4A33A1,2023-03-02 00:00:00,004,一氧化碳,0.02,80,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A0069FB1D6C4A33A1,2023-03-02 00:00:00,008,氯化氢,13.73,50,,0,0,2023-03-03T12:35:07.933,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2A2FC680F884281B,2023-03-02 00:00:00,001,颗粒物,2.07,20,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2A2FC680F884281B,2023-03-02 00:00:00,002,二氧化硫,8.02,30,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2A2FC680F884281B,2023-03-02 00:00:00,003,氮氧化物,62.15,180,,0,0,2023-03-03T12:35:07.927,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2A2FC680F884281B,2023-03-02 00:00:00,004,一氧化碳,0.44,80,,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
F3E34C08C5C84F5A11DDD1D38A2CBAD1,F3E34C08C5C84F5A2A2FC680F884281B,2023-03-02 00:00:00,008,氯化氢,12.22,50,,0,0,2023-03-03T12:35:07.93,2023-03-04T14:30:18.853,20230302
